,ISO3 Code,Year,Rule_of_law,Gov_effectiveness,Control_of_corruption,Fdi,Gdp_per_capita,Gini,Unemployement,Political_stability
179,FRA,2023,1.18057084083557,1.14462625980377,1.18482184410095,0.288462113991059,44690.9345395117,32.099999999999994,7.335,0.343697965145111
180,GBR,2012,1.72941386699677,1.59121036529541,1.66546046733856,1.72697599448212,42497.3404974322,33.1,8.279,0.40227073431015
181,GBR,2013,1.68938088417053,1.51226651668549,1.71889758110046,1.95605174026818,43426.2981405143,32.7,7.752,0.48620143532753
182,GBR,2014,1.87468194961548,1.62349116802216,1.74633920192719,1.92156774768545,47439.6165895125,33.1,6.398,0.415347635746002
183,GBR,2015,1.77068817615509,1.70522773265839,1.83126831054688,1.54832168533284,44964.3911437292,33.3,5.552,0.503706395626068
184,GBR,2016,1.63999843597412,1.57377743721008,1.85051727294922,12.0788528134648,40985.2351382417,33.1,4.909,0.347932636737823
185,GBR,2017,1.64506530761719,1.4309287071228,1.81427049636841,4.67730914435461,40572.1214823783,32.6,4.501,0.380680292844772
186,GBR,2018,1.60317921638489,1.36169874668121,1.80687081813812,-0.872604333652357,43203.8141057739,33.7,4.145,0.0770855620503426
187,GBR,2019,1.56992924213409,1.44982588291168,1.7486674785614,0.694070007703284,42662.5353740311,32.8,3.657,0.526694297790527
188,GBR,2020,1.46396434307098,1.33215415477753,1.66020119190216,5.82864205974736,40201.6812422928,32.6,4.518,0.483050256967545
189,GBR,2021,1.39551365375519,1.23967301845551,1.64058411121368,0.160847823124997,46896.8662432834,32.4,4.865,0.489994138479233
190,GBR,2022,1.41379821300507,1.23809003829956,1.62012147903442,1.44178892281254,45935.9276473925,32.95,3.768,0.533176064491272
191,GBR,2023,1.39836597442627,1.16114270687103,1.48091387748718,-2.64545968554728,49463.8554617343,32.95,4.025,0.514935672283173
192,GEO,2012,-0.0062173483893275,0.63056617975235,0.39742112159729,5.73087327277528,4530.69533409431,39.0,19.653,-0.680453956127167
193,GEO,2013,0.0049099563620984,0.606947124004364,0.463619619607925,5.97432640298838,4712.00229382665,38.6,19.416,-0.441366165876389
194,GEO,2014,0.224748969078064,0.424183517694473,0.828279137611389,10.2241873429056,4830.33486170249,37.6,17.439,-0.321507543325424
195,GEO,2015,0.22280541062355,0.263111501932144,0.700735151767731,11.3986492046024,4086.6223465965,36.5,16.506,-0.472153753042221
196,GEO,2016,0.335771918296814,0.420896291732788,0.713530719280243,10.746989399988,4143.40125686315,36.6,16.604,-0.320115089416504
197,GEO,2017,0.262742727994919,0.481504321098328,0.759495615959167,11.7183676491747,4418.75206546679,37.9,13.939,-0.375214755535126
198,GEO,2018,0.270510762929916,0.518133521080017,0.724816799163818,7.28401976586955,4804.0546040444,36.4,12.667,-0.447562873363495
199,GEO,2019,0.248691543936729,0.766199469566345,0.716545462608337,7.92523222582948,4741.2832715876,35.9,11.565,-0.498171955347061
200,GEO,2020,0.222878128290176,0.716738402843475,0.601492643356323,3.39837673139654,4300.85701291207,34.5,11.734,-0.429610639810562
201,GEO,2021,0.14443676173687,0.616529405117035,0.661079525947571,6.74295146360052,5083.60695484577,34.2,16.506,-0.429620236158371
202,GEO,2022,0.16946941614151,0.650143086910248,0.620420038700104,9.15328575552963,6729.84659930283,33.5,16.506,-0.43653005361557
203,GEO,2023,0.177279338240623,0.791285872459412,0.617694795131683,6.7766561454358,8283.66960242964,36.5,16.506,-0.335554122924805
