Series Name,"Series Code","Country Name","Country Code","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2023 [YR2023]","2022 [YR2022]","2021 [YR2021]","2020 [YR2020]","2019 [YR2019]","2018 [YR2018]","2017 [YR2017]","2016 [YR2016]"
Gini index,"SI.POV.GINI","Slovak Republic","SVK","26.1","28.1","26.1","26.5","NA","NA","24.1","24.2","23.2","25","23.2","25.2"
Gini index,"SI.POV.GINI","Slovenia","SVN","25.6","26.2","25.7","25.4","NA","NA","24.3","24","24.4","24.6","24.2","24.8"
Gini index,"SI.POV.GINI","Solomon Islands","SLB","37.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Somalia","SOM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","South Africa","ZAF","NA","NA","63","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","South Sudan","SSD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","44.1"
Gini index,"SI.POV.GINI","Spain","ESP","35.4","36.2","36.1","36.2","NA","NA","33.9","34.9","34.3","34.7","34.7","35.8"
Gini index,"SI.POV.GINI","Sri Lanka","LKA","38.7","NA","NA","NA","NA","NA","NA","NA","37.7","NA","NA","39.3"
Gini index,"SI.POV.GINI","St. Kitts and Nevis","KNA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","St. Lucia","LCA","NA","NA","NA","43.7","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","St. Martin (French part)","MAF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","St. Vincent and the Grenadines","VCT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Sudan","SDN","NA","NA","34.2","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Suriname","SUR","NA","NA","NA","NA","NA","39.2","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Eswatini","SWZ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","54.6"
Gini index,"SI.POV.GINI","Sweden","SWE","27.6","28.8","28.4","29.2","NA","NA","29.8","28.9","29.3","30","28.8","29.6"
